	Params	Mutation_Rate	Cross_Rate	Population_Size	Total_Generations	Elistism	Selection_Method	Tournament_Count	Bests_Results	Number_times_got_best_solution
67	Mutation_Rate 0.05, Cross_Rate 0.7, Population 100, Generation 50, Elitism 1, Selection_Method R, Tournament: 10	0.05	0.7	100	50	1	R	10	395.6485294117647	0
68	Mutation_Rate 0.05, Cross_Rate 0.7, Population 100, Generation 50, Elitism 5, Selection_Method T, Tournament: 2	0.05	0.7	100	50	5	T	2	395.6753623188406	0
70	Mutation_Rate 0.05, Cross_Rate 0.7, Population 100, Generation 50, Elitism 5, Selection_Method R, Tournament: 2	0.05	0.7	100	50	5	R	2	395.19859154929577	0
71	Mutation_Rate 0.05, Cross_Rate 0.7, Population 100, Generation 50, Elitism 5, Selection_Method R, Tournament: 10	0.05	0.7	100	50	5	R	10	395.62638888888887	0
72	Mutation_Rate 0.05, Cross_Rate 1, Population 100, Generation 50, Elitism 1, Selection_Method T, Tournament: 2	0.05	1.0	100	50	1	T	2	396.0493150684932	0
74	Mutation_Rate 0.05, Cross_Rate 1, Population 100, Generation 50, Elitism 1, Selection_Method R, Tournament: 2	0.05	1.0	100	50	1	R	2	395.38666666666666	0
75	Mutation_Rate 0.05, Cross_Rate 1, Population 100, Generation 50, Elitism 1, Selection_Method R, Tournament: 10	0.05	1.0	100	50	1	R	10	395.96315789473687	0
76	Mutation_Rate 0.05, Cross_Rate 1, Population 100, Generation 50, Elitism 5, Selection_Method T, Tournament: 2	0.05	1.0	100	50	5	T	2	395.96753246753246	0
78	Mutation_Rate 0.05, Cross_Rate 1, Population 100, Generation 50, Elitism 5, Selection_Method R, Tournament: 2	0.05	1.0	100	50	5	R	2	395.473417721519	0
79	Mutation_Rate 0.05, Cross_Rate 1, Population 100, Generation 50, Elitism 5, Selection_Method R, Tournament: 10	0.05	1.0	100	50	5	R	10	395.93125	0
80	Mutation_Rate 0.1, Cross_Rate 0.7, Population 100, Generation 50, Elitism 1, Selection_Method T, Tournament: 2	0.1	0.7	100	50	1	T	2	396.358024691358	0
82	Mutation_Rate 0.1, Cross_Rate 0.7, Population 100, Generation 50, Elitism 1, Selection_Method R, Tournament: 2	0.1	0.7	100	50	1	R	2	396.1433734939759	0
83	Mutation_Rate 0.1, Cross_Rate 0.7, Population 100, Generation 50, Elitism 1, Selection_Method R, Tournament: 10	0.1	0.7	100	50	1	R	10	396.6714285714286	0
84	Mutation_Rate 0.1, Cross_Rate 0.7, Population 100, Generation 50, Elitism 5, Selection_Method T, Tournament: 2	0.1	0.7	100	50	5	T	2	396.8623529411765	0
86	Mutation_Rate 0.1, Cross_Rate 0.7, Population 100, Generation 50, Elitism 5, Selection_Method R, Tournament: 2	0.1	0.7	100	50	5	R	2	396.35632183908046	0
87	Mutation_Rate 0.1, Cross_Rate 0.7, Population 100, Generation 50, Elitism 5, Selection_Method R, Tournament: 10	0.1	0.7	100	50	5	R	10	396.77613636363634	0
88	Mutation_Rate 0.1, Cross_Rate 1, Population 100, Generation 50, Elitism 1, Selection_Method T, Tournament: 2	0.1	1.0	100	50	1	T	2	397.1573033707865	0
90	Mutation_Rate 0.1, Cross_Rate 1, Population 100, Generation 50, Elitism 1, Selection_Method R, Tournament: 2	0.1	1.0	100	50	1	R	2	396.7098901098901	0
91	Mutation_Rate 0.1, Cross_Rate 1, Population 100, Generation 50, Elitism 1, Selection_Method R, Tournament: 10	0.1	1.0	100	50	1	R	10	397.1010869565217	0
92	Mutation_Rate 0.1, Cross_Rate 1, Population 100, Generation 50, Elitism 5, Selection_Method T, Tournament: 2	0.1	1.0	100	50	5	T	2	397.31827956989247	0
94	Mutation_Rate 0.1, Cross_Rate 1, Population 100, Generation 50, Elitism 5, Selection_Method R, Tournament: 2	0.1	1.0	100	50	5	R	2	396.98842105263157	0
95	Mutation_Rate 0.1, Cross_Rate 1, Population 100, Generation 50, Elitism 5, Selection_Method R, Tournament: 10	0.1	1.0	100	50	5	R	10	397.4625	0
96	Mutation_Rate 0.01, Cross_Rate 0.7, Population 250, Generation 50, Elitism 1, Selection_Method T, Tournament: 2	0.01	0.7	250	50	1	T	2	397.23298969072164	0
98	Mutation_Rate 0.01, Cross_Rate 0.7, Population 250, Generation 50, Elitism 1, Selection_Method R, Tournament: 2	0.01	0.7	250	50	1	R	2	396.3212121212121	0
99	Mutation_Rate 0.01, Cross_Rate 0.7, Population 250, Generation 50, Elitism 1, Selection_Method R, Tournament: 10	0.01	0.7	250	50	1	R	10	396459	0
100	Mutation_Rate 0.01, Cross_Rate 0.7, Population 250, Generation 50, Elitism 5, Selection_Method T, Tournament: 2	0.01	0.7	250	50	5	T	2	395.93366336633665	0
102	Mutation_Rate 0.01, Cross_Rate 0.7, Population 250, Generation 50, Elitism 5, Selection_Method R, Tournament: 2	0.01	0.7	250	50	5	R	2	395.19029126213593	0
103	Mutation_Rate 0.01, Cross_Rate 0.7, Population 250, Generation 50, Elitism 5, Selection_Method R, Tournament: 10	0.01	0.7	250	50	5	R	10	395.2903846153846	0
104	Mutation_Rate 0.01, Cross_Rate 1, Population 250, Generation 50, Elitism 1, Selection_Method T, Tournament: 2	0.01	1.0	250	50	1	T	2	394.9704761904762	0
106	Mutation_Rate 0.01, Cross_Rate 1, Population 250, Generation 50, Elitism 1, Selection_Method R, Tournament: 2	0.01	1.0	250	50	1	R	2	394.30093457943923	0
107	Mutation_Rate 0.01, Cross_Rate 1, Population 250, Generation 50, Elitism 1, Selection_Method R, Tournament: 10	0.01	1.0	250	50	1	R	10	394.51944444444445	0
110	Mutation_Rate 0.01, Cross_Rate 1, Population 250, Generation 50, Elitism 5, Selection_Method R, Tournament: 2	0.01	1.0	250	50	5	R	2	393.072972972973	0
111	Mutation_Rate 0.01, Cross_Rate 1, Population 250, Generation 50, Elitism 5, Selection_Method R, Tournament: 10	0.01	1.0	250	50	5	R	10	393.13214285714287	0
112	Mutation_Rate 0.05, Cross_Rate 0.7, Population 250, Generation 50, Elitism 1, Selection_Method T, Tournament: 2	0.05	0.7	250	50	1	T	2	393.14690265486723	0
114	Mutation_Rate 0.05, Cross_Rate 0.7, Population 250, Generation 50, Elitism 1, Selection_Method R, Tournament: 2	0.05	0.7	250	50	1	R	2	392.6408695652174	0
115	Mutation_Rate 0.05, Cross_Rate 0.7, Population 250, Generation 50, Elitism 1, Selection_Method R, Tournament: 10	0.05	0.7	250	50	1	R	10	392.87931034482756	0
116	Mutation_Rate 0.05, Cross_Rate 0.7, Population 250, Generation 50, Elitism 5, Selection_Method T, Tournament: 2	0.05	0.7	250	50	5	T	2	392.9059829059829	0
118	Mutation_Rate 0.05, Cross_Rate 0.7, Population 250, Generation 50, Elitism 5, Selection_Method R, Tournament: 2	0.05	0.7	250	50	5	R	2	392.35378151260505	0
119	Mutation_Rate 0.05, Cross_Rate 0.7, Population 250, Generation 50, Elitism 5, Selection_Method R, Tournament: 10	0.05	0.7	250	50	5	R	10	392.5158333333333	0
120	Mutation_Rate 0.05, Cross_Rate 1, Population 250, Generation 50, Elitism 1, Selection_Method T, Tournament: 2	0.05	1.0	250	50	1	T	2	392.56363636363636	0
122	Mutation_Rate 0.05, Cross_Rate 1, Population 250, Generation 50, Elitism 1, Selection_Method R, Tournament: 2	0.05	1.0	250	50	1	R	2	392.10650406504067	0
123	Mutation_Rate 0.05, Cross_Rate 1, Population 250, Generation 50, Elitism 1, Selection_Method R, Tournament: 10	0.05	1.0	250	50	1	R	10	392.31693548387096	0
124	Mutation_Rate 0.05, Cross_Rate 1, Population 250, Generation 50, Elitism 5, Selection_Method T, Tournament: 2	0.05	1.0	250	50	5	T	2	392.2128	0
126	Mutation_Rate 0.05, Cross_Rate 1, Population 250, Generation 50, Elitism 5, Selection_Method R, Tournament: 2	0.05	1.0	250	50	5	R	2	391.8086614173228	0
127	Mutation_Rate 0.05, Cross_Rate 1, Population 250, Generation 50, Elitism 5, Selection_Method R, Tournament: 10	0.05	1.0	250	50	5	R	10	391.95234375	0
128	Mutation_Rate 0.1, Cross_Rate 0.7, Population 250, Generation 50, Elitism 1, Selection_Method T, Tournament: 2	0.1	0.7	250	50	1	T	2	392.20852713178294	0
130	Mutation_Rate 0.1, Cross_Rate 0.7, Population 250, Generation 50, Elitism 1, Selection_Method R, Tournament: 2	0.1	0.7	250	50	1	R	2	392.03053435114504	0
131	Mutation_Rate 0.1, Cross_Rate 0.7, Population 250, Generation 50, Elitism 1, Selection_Method R, Tournament: 10	0.1	0.7	250	50	1	R	10	392.32651515151514	0
132	Mutation_Rate 0.1, Cross_Rate 0.7, Population 250, Generation 50, Elitism 5, Selection_Method T, Tournament: 2	0.1	0.7	250	50	5	T	2	392.3774436090226	0
134	Mutation_Rate 0.1, Cross_Rate 0.7, Population 250, Generation 50, Elitism 5, Selection_Method R, Tournament: 2	0.1	0.7	250	50	5	R	2	392.08296296296294	0
135	Mutation_Rate 0.1, Cross_Rate 0.7, Population 250, Generation 50, Elitism 5, Selection_Method R, Tournament: 10	0.1	0.7	250	50	5	R	10	392.3382352941176	0
136	Mutation_Rate 0.1, Cross_Rate 1, Population 250, Generation 50, Elitism 1, Selection_Method T, Tournament: 2	0.1	1.0	250	50	1	T	2	392.6	0
138	Mutation_Rate 0.1, Cross_Rate 1, Population 250, Generation 50, Elitism 1, Selection_Method R, Tournament: 2	0.1	1.0	250	50	1	R	2	392.2294964028777	0
139	Mutation_Rate 0.1, Cross_Rate 1, Population 250, Generation 50, Elitism 1, Selection_Method R, Tournament: 10	0.1	1.0	250	50	1	R	10	392.4971428571429	0
140	Mutation_Rate 0.1, Cross_Rate 1, Population 250, Generation 50, Elitism 5, Selection_Method T, Tournament: 2	0.1	1.0	250	50	5	T	2	392.6985815602837	0
142	Mutation_Rate 0.1, Cross_Rate 1, Population 250, Generation 50, Elitism 5, Selection_Method R, Tournament: 2	0.1	1.0	250	50	5	R	2	392.3538461538462	0
143	Mutation_Rate 0.1, Cross_Rate 1, Population 250, Generation 50, Elitism 5, Selection_Method R, Tournament: 10	0.1	1.0	250	50	5	R	10	392.6076388888889	0
146	Mutation_Rate 0.01, Cross_Rate 0.7, Population 50, Generation 200, Elitism 1, Selection_Method R, Tournament: 2	0.01	0.7	50	200	1	R	2	391.6312925170068	0
147	Mutation_Rate 0.01, Cross_Rate 0.7, Population 50, Generation 200, Elitism 1, Selection_Method R, Tournament: 10	0.01	0.7	50	200	1	R	10	391.46824324324325	0
150	Mutation_Rate 0.01, Cross_Rate 0.7, Population 50, Generation 200, Elitism 5, Selection_Method R, Tournament: 2	0.01	0.7	50	200	5	R	2	390.041059602649	0
151	Mutation_Rate 0.01, Cross_Rate 0.7, Population 50, Generation 200, Elitism 5, Selection_Method R, Tournament: 10	0.01	0.7	50	200	5	R	10	389.7269736842105	0
154	Mutation_Rate 0.01, Cross_Rate 1, Population 50, Generation 200, Elitism 1, Selection_Method R, Tournament: 2	0.01	1.0	50	200	1	R	2	388.63612903225805	0
155	Mutation_Rate 0.01, Cross_Rate 1, Population 50, Generation 200, Elitism 1, Selection_Method R, Tournament: 10	0.01	1.0	50	200	1	R	10	388.47115384615387	0
160	Mutation_Rate 0.05, Cross_Rate 0.7, Population 50, Generation 200, Elitism 1, Selection_Method T, Tournament: 2	0.05	0.7	50	200	1	T	2	386.4347826086956	0
162	Mutation_Rate 0.05, Cross_Rate 0.7, Population 50, Generation 200, Elitism 1, Selection_Method R, Tournament: 2	0.05	0.7	50	200	1	R	2	386.1116564417178	0
163	Mutation_Rate 0.05, Cross_Rate 0.7, Population 50, Generation 200, Elitism 1, Selection_Method R, Tournament: 10	0.05	0.7	50	200	1	R	10	386.3	0
164	Mutation_Rate 0.05, Cross_Rate 0.7, Population 50, Generation 200, Elitism 5, Selection_Method T, Tournament: 2	0.05	0.7	50	200	5	T	2	386.08484848484846	0
166	Mutation_Rate 0.05, Cross_Rate 0.7, Population 50, Generation 200, Elitism 5, Selection_Method R, Tournament: 2	0.05	0.7	50	200	5	R	2	385.5832335329341	0
167	Mutation_Rate 0.05, Cross_Rate 0.7, Population 50, Generation 200, Elitism 5, Selection_Method R, Tournament: 10	0.05	0.7	50	200	5	R	10	385.6815476190476	0
168	Mutation_Rate 0.05, Cross_Rate 1, Population 50, Generation 200, Elitism 1, Selection_Method T, Tournament: 2	0.05	1.0	50	200	1	T	2	385.54792899408284	0
170	Mutation_Rate 0.05, Cross_Rate 1, Population 50, Generation 200, Elitism 1, Selection_Method R, Tournament: 2	0.05	1.0	50	200	1	R	2	385.0842105263158	0
171	Mutation_Rate 0.05, Cross_Rate 1, Population 50, Generation 200, Elitism 1, Selection_Method R, Tournament: 10	0.05	1.0	50	200	1	R	10	385.19476744186045	0
174	Mutation_Rate 0.05, Cross_Rate 1, Population 50, Generation 200, Elitism 5, Selection_Method R, Tournament: 2	0.05	1.0	50	200	5	R	2	384.06514285714286	0
175	Mutation_Rate 0.05, Cross_Rate 1, Population 50, Generation 200, Elitism 5, Selection_Method R, Tournament: 10	0.05	1.0	50	200	5	R	10	383.96079545454546	0
176	Mutation_Rate 0.1, Cross_Rate 0.7, Population 50, Generation 200, Elitism 1, Selection_Method T, Tournament: 2	0.1	0.7	50	200	1	T	2	384.09322033898303	0
178	Mutation_Rate 0.1, Cross_Rate 0.7, Population 50, Generation 200, Elitism 1, Selection_Method R, Tournament: 2	0.1	0.7	50	200	1	R	2	383.93240223463687	0
179	Mutation_Rate 0.1, Cross_Rate 0.7, Population 50, Generation 200, Elitism 1, Selection_Method R, Tournament: 10	0.1	0.7	50	200	1	R	10	384.17277777777775	0
180	Mutation_Rate 0.1, Cross_Rate 0.7, Population 50, Generation 200, Elitism 5, Selection_Method T, Tournament: 2	0.1	0.7	50	200	5	T	2	384.2160220994475	0
182	Mutation_Rate 0.1, Cross_Rate 0.7, Population 50, Generation 200, Elitism 5, Selection_Method R, Tournament: 2	0.1	0.7	50	200	5	R	2	384.0497267759563	0
183	Mutation_Rate 0.1, Cross_Rate 0.7, Population 50, Generation 200, Elitism 5, Selection_Method R, Tournament: 10	0.1	0.7	50	200	5	R	10	384.1576086956522	0
184	Mutation_Rate 0.1, Cross_Rate 1, Population 50, Generation 200, Elitism 1, Selection_Method T, Tournament: 2	0.1	1.0	50	200	1	T	2	384.24594594594595	0
186	Mutation_Rate 0.1, Cross_Rate 1, Population 50, Generation 200, Elitism 1, Selection_Method R, Tournament: 2	0.1	1.0	50	200	1	R	2	383.9663101604278	0
187	Mutation_Rate 0.1, Cross_Rate 1, Population 50, Generation 200, Elitism 1, Selection_Method R, Tournament: 10	0.1	1.0	50	200	1	R	10	384.1026595744681	0
188	Mutation_Rate 0.1, Cross_Rate 1, Population 50, Generation 200, Elitism 5, Selection_Method T, Tournament: 2	0.1	1.0	50	200	5	T	2	383.994708994709	0
190	Mutation_Rate 0.1, Cross_Rate 1, Population 50, Generation 200, Elitism 5, Selection_Method R, Tournament: 2	0.1	1.0	50	200	5	R	2	383.7047120418848	0
191	Mutation_Rate 0.1, Cross_Rate 1, Population 50, Generation 200, Elitism 5, Selection_Method R, Tournament: 10	0.1	1.0	50	200	5	R	10	383.765625	0
194	Mutation_Rate 0.01, Cross_Rate 0.7, Population 100, Generation 200, Elitism 1, Selection_Method R, Tournament: 2	0.01	0.7	100	200	1	R	2	382.97333333333336	0
195	Mutation_Rate 0.01, Cross_Rate 0.7, Population 100, Generation 200, Elitism 1, Selection_Method R, Tournament: 10	0.01	0.7	100	200	1	R	10	382.9535714285714	0
198	Mutation_Rate 0.01, Cross_Rate 0.7, Population 100, Generation 200, Elitism 5, Selection_Method R, Tournament: 2	0.01	0.7	100	200	5	R	2	382.10452261306534	0
202	Mutation_Rate 0.01, Cross_Rate 1, Population 100, Generation 200, Elitism 1, Selection_Method R, Tournament: 2	0.01	1.0	100	200	1	R	2	381.0522167487685	0
203	Mutation_Rate 0.01, Cross_Rate 1, Population 100, Generation 200, Elitism 1, Selection_Method R, Tournament: 10	0.01	1.0	100	200	1	R	10	380.9852941176471	0
206	Mutation_Rate 0.01, Cross_Rate 1, Population 100, Generation 200, Elitism 5, Selection_Method R, Tournament: 2	0.01	1.0	100	200	5	R	2	379.9415458937198	0
208	Mutation_Rate 0.05, Cross_Rate 0.7, Population 100, Generation 200, Elitism 1, Selection_Method T, Tournament: 2	0.05	0.7	100	200	1	T	2	379.6775119617225	0
210	Mutation_Rate 0.05, Cross_Rate 0.7, Population 100, Generation 200, Elitism 1, Selection_Method R, Tournament: 2	0.05	0.7	100	200	1	R	2	379.4345971563981	0
211	Mutation_Rate 0.05, Cross_Rate 0.7, Population 100, Generation 200, Elitism 1, Selection_Method R, Tournament: 10	0.05	0.7	100	200	1	R	10	379.563679245283	0
212	Mutation_Rate 0.05, Cross_Rate 0.7, Population 100, Generation 200, Elitism 5, Selection_Method T, Tournament: 2	0.05	0.7	100	200	5	T	2	379.4530516431925	0
214	Mutation_Rate 0.05, Cross_Rate 0.7, Population 100, Generation 200, Elitism 5, Selection_Method R, Tournament: 2	0.05	0.7	100	200	5	R	2	379.1279069767442	0
215	Mutation_Rate 0.05, Cross_Rate 0.7, Population 100, Generation 200, Elitism 5, Selection_Method R, Tournament: 10	0.05	0.7	100	200	5	R	10	379.1703703703704	0
216	Mutation_Rate 0.05, Cross_Rate 1, Population 100, Generation 200, Elitism 1, Selection_Method T, Tournament: 2	0.05	1.0	100	200	1	T	2	379.05115207373274	0
218	Mutation_Rate 0.05, Cross_Rate 1, Population 100, Generation 200, Elitism 1, Selection_Method R, Tournament: 2	0.05	1.0	100	200	1	R	2	378.82465753424657	0
219	Mutation_Rate 0.05, Cross_Rate 1, Population 100, Generation 200, Elitism 1, Selection_Method R, Tournament: 10	0.05	1.0	100	200	1	R	10	378.90727272727275	0
223	Mutation_Rate 0.05, Cross_Rate 1, Population 100, Generation 200, Elitism 5, Selection_Method R, Tournament: 10	0.05	1.0	100	200	5	R	10	378.0388392857143	0
224	Mutation_Rate 0.1, Cross_Rate 0.7, Population 100, Generation 200, Elitism 1, Selection_Method T, Tournament: 2	0.1	0.7	100	200	1	T	2	378.16266666666667	0
226	Mutation_Rate 0.1, Cross_Rate 0.7, Population 100, Generation 200, Elitism 1, Selection_Method R, Tournament: 2	0.1	0.7	100	200	1	R	2	378.01850220264316	0
227	Mutation_Rate 0.1, Cross_Rate 0.7, Population 100, Generation 200, Elitism 1, Selection_Method R, Tournament: 10	0.1	0.7	100	200	1	R	10	378.18552631578945	0
228	Mutation_Rate 0.1, Cross_Rate 0.7, Population 100, Generation 200, Elitism 5, Selection_Method T, Tournament: 2	0.1	0.7	100	200	5	T	2	378.2122270742358	0
230	Mutation_Rate 0.1, Cross_Rate 0.7, Population 100, Generation 200, Elitism 5, Selection_Method R, Tournament: 2	0.1	0.7	100	200	5	R	2	378.05324675324675	0
231	Mutation_Rate 0.1, Cross_Rate 0.7, Population 100, Generation 200, Elitism 5, Selection_Method R, Tournament: 10	0.1	0.7	100	200	5	R	10	378.19094827586207	0
232	Mutation_Rate 0.1, Cross_Rate 1, Population 100, Generation 200, Elitism 1, Selection_Method T, Tournament: 2	0.1	1.0	100	200	1	T	2	378.2695278969957	0
234	Mutation_Rate 0.1, Cross_Rate 1, Population 100, Generation 200, Elitism 1, Selection_Method R, Tournament: 2	0.1	1.0	100	200	1	R	2	378.1208510638298	0
235	Mutation_Rate 0.1, Cross_Rate 1, Population 100, Generation 200, Elitism 1, Selection_Method R, Tournament: 10	0.1	1.0	100	200	1	R	10	378.26271186440675	0
236	Mutation_Rate 0.1, Cross_Rate 1, Population 100, Generation 200, Elitism 5, Selection_Method T, Tournament: 2	0.1	1.0	100	200	5	T	2	378.1763713080169	0
238	Mutation_Rate 0.1, Cross_Rate 1, Population 100, Generation 200, Elitism 5, Selection_Method R, Tournament: 2	0.1	1.0	100	200	5	R	2	377.9456066945607	0
239	Mutation_Rate 0.1, Cross_Rate 1, Population 100, Generation 200, Elitism 5, Selection_Method R, Tournament: 10	0.1	1.0	100	200	5	R	10	377.98875	0
242	Mutation_Rate 0.01, Cross_Rate 0.7, Population 250, Generation 200, Elitism 1, Selection_Method R, Tournament: 2	0.01	0.7	250	200	1	R	2	377.3880658436214	0
243	Mutation_Rate 0.01, Cross_Rate 0.7, Population 250, Generation 200, Elitism 1, Selection_Method R, Tournament: 10	0.01	0.7	250	200	1	R	10	377.40245901639344	0
246	Mutation_Rate 0.01, Cross_Rate 0.7, Population 250, Generation 200, Elitism 5, Selection_Method R, Tournament: 2	0.01	0.7	250	200	5	R	2	376.67125506072875	0
247	Mutation_Rate 0.01, Cross_Rate 0.7, Population 250, Generation 200, Elitism 5, Selection_Method R, Tournament: 10	0.01	0.7	250	200	5	R	10	376.51612903225805	0
250	Mutation_Rate 0.01, Cross_Rate 1, Population 250, Generation 200, Elitism 1, Selection_Method R, Tournament: 2	0.01	1.0	250	200	1	R	2	375.794422310757	0
251	Mutation_Rate 0.01, Cross_Rate 1, Population 250, Generation 200, Elitism 1, Selection_Method R, Tournament: 10	0.01	1.0	250	200	1	R	10	375.7261904761905	0
255	Mutation_Rate 0.01, Cross_Rate 1, Population 250, Generation 200, Elitism 5, Selection_Method R, Tournament: 10	0.01	1.0	250	200	5	R	10	374.653515625	0
256	Mutation_Rate 0.05, Cross_Rate 0.7, Population 250, Generation 200, Elitism 1, Selection_Method T, Tournament: 2	0.05	0.7	250	200	1	T	2	374.68443579766534	0
258	Mutation_Rate 0.05, Cross_Rate 0.7, Population 250, Generation 200, Elitism 1, Selection_Method R, Tournament: 2	0.05	0.7	250	200	1	R	2	374.4918918918919	0
259	Mutation_Rate 0.05, Cross_Rate 0.7, Population 250, Generation 200, Elitism 1, Selection_Method R, Tournament: 10	0.05	0.7	250	200	1	R	10	374.5873076923077	0
260	Mutation_Rate 0.05, Cross_Rate 0.7, Population 250, Generation 200, Elitism 5, Selection_Method T, Tournament: 2	0.05	0.7	250	200	5	T	2	374.5195402298851	0
262	Mutation_Rate 0.05, Cross_Rate 0.7, Population 250, Generation 200, Elitism 5, Selection_Method R, Tournament: 2	0.05	0.7	250	200	5	R	2	374.2619771863118	0
263	Mutation_Rate 0.05, Cross_Rate 0.7, Population 250, Generation 200, Elitism 5, Selection_Method R, Tournament: 10	0.05	0.7	250	200	5	R	10	374.31098484848485	0
264	Mutation_Rate 0.05, Cross_Rate 1, Population 250, Generation 200, Elitism 1, Selection_Method T, Tournament: 2	0.05	1.0	250	200	1	T	2	374.25094339622643	0
266	Mutation_Rate 0.05, Cross_Rate 1, Population 250, Generation 200, Elitism 1, Selection_Method R, Tournament: 2	0.05	1.0	250	200	1	R	2	374.0280898876405	0
267	Mutation_Rate 0.05, Cross_Rate 1, Population 250, Generation 200, Elitism 1, Selection_Method R, Tournament: 10	0.05	1.0	250	200	1	R	10	374.0839552238806	0
270	Mutation_Rate 0.05, Cross_Rate 1, Population 250, Generation 200, Elitism 5, Selection_Method R, Tournament: 2	0.05	1.0	250	200	5	R	2	373.5409594095941	0
271	Mutation_Rate 0.05, Cross_Rate 1, Population 250, Generation 200, Elitism 5, Selection_Method R, Tournament: 10	0.05	1.0	250	200	5	R	10	373.47242647058823	0
272	Mutation_Rate 0.1, Cross_Rate 0.7, Population 250, Generation 200, Elitism 1, Selection_Method T, Tournament: 2	0.1	0.7	250	200	1	T	2	373.57032967032967	0
274	Mutation_Rate 0.1, Cross_Rate 0.7, Population 250, Generation 200, Elitism 1, Selection_Method R, Tournament: 2	0.1	0.7	250	200	1	R	2	373.42727272727274	0
275	Mutation_Rate 0.1, Cross_Rate 0.7, Population 250, Generation 200, Elitism 1, Selection_Method R, Tournament: 10	0.1	0.7	250	200	1	R	10	373.5192028985507	0
276	Mutation_Rate 0.1, Cross_Rate 0.7, Population 250, Generation 200, Elitism 5, Selection_Method T, Tournament: 2	0.1	0.7	250	200	5	T	2	373.57725631768955	0
278	Mutation_Rate 0.1, Cross_Rate 0.7, Population 250, Generation 200, Elitism 5, Selection_Method R, Tournament: 2	0.1	0.7	250	200	5	R	2	373.3666666666667	0
279	Mutation_Rate 0.1, Cross_Rate 0.7, Population 250, Generation 200, Elitism 5, Selection_Method R, Tournament: 10	0.1	0.7	250	200	5	R	10	373.4814285714286	0
280	Mutation_Rate 0.1, Cross_Rate 1, Population 250, Generation 200, Elitism 1, Selection_Method T, Tournament: 2	0.1	1.0	250	200	1	T	2	373.54519572953734	0
282	Mutation_Rate 0.1, Cross_Rate 1, Population 250, Generation 200, Elitism 1, Selection_Method R, Tournament: 2	0.1	1.0	250	200	1	R	2	373.37349823321557	0
283	Mutation_Rate 0.1, Cross_Rate 1, Population 250, Generation 200, Elitism 1, Selection_Method R, Tournament: 10	0.1	1.0	250	200	1	R	10	373.4693661971831	0
284	Mutation_Rate 0.1, Cross_Rate 1, Population 250, Generation 200, Elitism 5, Selection_Method T, Tournament: 2	0.1	1.0	250	200	5	T	2	373.40315789473686	0
286	Mutation_Rate 0.1, Cross_Rate 1, Population 250, Generation 200, Elitism 5, Selection_Method R, Tournament: 2	0.1	1.0	250	200	5	R	2	373.1843205574913	0
287	Mutation_Rate 0.1, Cross_Rate 1, Population 250, Generation 200, Elitism 5, Selection_Method R, Tournament: 10	0.1	1.0	250	200	5	R	10	373.1920138888889	0
